genes,reaction,geneKO,maxATPafterKO,growthAcrossCond,closeness,degree,betweenness,pagerank,reversible,Vmin,Vmax,PFBAflux,kcat,MW,Acetyl,Phos
ABCB11,GCHOLAt3,1,0.388935604,1,0.000125104,898,10531.65872,0.000661708,0,0,0,0,4.523561956,146407,0,0
ABCB11,TCHOLAt3,1,0.388935604,1,0.000125104,898,10528.54588,0.000661675,0,0,0,0,4.523561956,146407,0,0
ABCC1,5ADTSTSTERONEGLCte,1,0.3889356,1,0.000125043,895,7128.636774,0.000647808,0,0,0,0,4.523561956,171591,0,0
ABCC1,AHANDROSTANGLCte,1,0.3889356,1,0.000125043,895,7158.286422,0.000647401,0,0,0,0,4.523561956,171591,0,0
ABCC1,ANDRSTRNGLCte,1,0.3889356,1,0.000125003,894,3764.302341,0.000619923,0,0,0,0,4.523561956,171591,0,0
ABCC1,BILDGLCURte,1,0.3889356,1,0.000125064,896,7838.093468,0.000647671,1,-100,100,0,4.523561956,171591,0,0
ABCC1,BILGLCURte,1,0.3889356,1,0.000125043,896,7492.206794,0.0006436,1,-100,100,0,4.523561956,171591,0,0
ABCC1,ESTRIOLGLCte,1,0.3889356,1,0.000125064,895,7419.107082,0.000652084,0,0,0,0,4.523561956,171591,0,0
ABCC1,TSTSTERONEGLCte,1,0.3889356,1,0.000125043,895,7049.874063,0.00064576,0,0,0,0,4.523561956,171591,0,0
ABCC4,CAMPt,1,0.3889356,1,0.000125003,894,3764.302341,0.000619923,0,0,0,0,4.523561956,149527,0,0
ABCC4,CGMPt,1,0.3889356,1,0.000125043,896,5526.901887,0.000633505,0,0,0,0,4.523561956,149527,0,0
ABCC4,ESTRADIOLGLCt2,1,0.3889356,1,0.000125064,896,7763.83358,0.000646553,0,-100,100,0,4.523561956,149527,0,0
ABCC4,PROSTGE1t3,1,0.3889356,1,0.000125023,895,4436.125787,0.000626187,0,-100,100,0,4.523561956,149527,0,0
ABCC4,PROSTGE2t3,1,0.3889356,1,0.000125043,896,6495.686353,0.00064255,0,-100,100,0,4.523561956,149527,0,0
ABO,ABO1g,1,0.3889356,1,8.4577E-05,226,68.42888365,0.000347943,0,0,0,0,4.523561956,40934,0,0
ABO,ABO2g,1,0.3889356,1,8.4577E-05,226,43.05637853,0.000346749,0,0,0,0,4.523561956,40934,0,0
ABO,ABO3g,1,0.3889356,1,8.45954E-05,227,6641.056379,0.000431913,0,0,0,0,4.523561956,40934,0,0
ABO,ABO4g,1,0.3889356,1,8.4577E-05,226,68.42888365,0.000347943,0,0,0,0,4.523561956,40934,0,0
ABO,ABO5g,1,0.3889356,1,8.45954E-05,227,6666.428884,0.000433111,0,0,0,0,4.523561956,40934,0,0
ABO,ABO6g,1,0.3889356,1,8.4577E-05,226,68.42888365,0.000347943,0,0,0,0,4.523561956,40934,0,0
ABO,ABO7g,1,0.3889356,1,8.45954E-05,227,6666.428884,0.000433111,0,0,0,0,4.523561956,40934,0,0
ABO,ABO8g,1,0.3889356,1,8.45954E-05,227,6641.056379,0.000431913,0,0,0,0,4.523561956,40934,0,0
ABO,ABO9g,1,0.3889356,1,8.45954E-05,227,6641.056379,0.000431913,0,0,0,0,4.523561956,40934,0,0
ABP1,13DAMPPOX,1,0.3889356,1,0.000105346,462,1016.624296,0.000356303,0,0,0.964504524,0,4.523561956,85378,0,0
ABP1,42A12BOOX,1,0.3889356,1,0.000105432,467,1459.460836,0.00036597,0,0,0,0,4.523561956,85378,0,0
ABP1,HISTASE,1,0.3889356,1,0.000105389,465,1529.453869,0.000367785,0,0,0,0,4.523561956,85378,0,0
ABP1,MAOX,1,0.3889356,1,0.000105403,466,2124.671029,0.000376384,0,0,0.07958442,0,4.523561956,85378,0,0
ABP1,MHISOR,1,0.3889356,1,0.00010536,463,1020.420187,0.000356862,0,0,0,0,4.523561956,85378,0,0
ABP1,NMPTRCOX,1,0.3889356,1,9.15563E-05,149,151.8562708,0.000170313,0,0,0,0,4.523561956,85378,0,0
ABP1,PEAMNO,1,0.3889356,1,0.00010536,463,1020.4026,0.000356839,0,0,0,0,4.523561956,85378,0,0
ABP1,PTRCOX1,1,0.3889356,1,0.000105389,465,1027.250943,0.000357967,0,0,2.411261309,0,4.523561956,85378,0,0
ABP1,TRYPTAOX,1,0.3889356,1,0.00010536,463,1020.195992,0.000356836,0,0,0,0,4.523561956,85378,0,0
ACAA1,ACACT4p,1,0.3889356,1,6.77382E-05,47,36.69124985,0.000278213,0,0,0,0,4.523561956,44292,0,0
ACAA1,ACACT5p,1,0.3889356,1,6.77264E-05,46,13.36779189,0.000270672,0,0,0,0,4.523561956,44292,0,0
ACAA1,ACACT6p,1,0.3889356,1,6.77264E-05,46,13.36779189,0.000270672,0,0,0,0,4.523561956,44292,0,0
ACAA1,ACACT7p,1,0.3889356,1,6.77264E-05,46,13.36779189,0.000270672,0,0,0,0,4.523561956,44292,0,0
ACAA1,ACACT8p,1,0.3889356,1,6.77736E-05,48,53.70136699,0.000281495,0,0,0,0,4.523561956,44292,0,0
ACAA1,ACACT9p,1,0.3889356,1,6.77264E-05,46,13.36779189,0.000270672,0,0,0,0,4.523561956,44292,0,0
ACAA1,FAOXC16080x,1,0.3889356,1,8.51978E-05,92,2044.470185,0.000472072,0,0,0.009896105,0,4.523561956,44292,0,0
ACAA1,FAOXC180x,1,0.3889356,1,8.51978E-05,92,2064.964361,0.000471065,0,0,0.03958442,0,4.523561956,44292,0,0
ACAA1,FAOXC183806x,1,0.3889356,1,8.51511E-05,91,1977.691178,0.000466281,0,0,0,0,4.523561956,44292,0,0
ACAA1,FAOXC18480x,1,0.3889356,1,8.51511E-05,91,1977.691178,0.000466281,0,0,0,0,4.523561956,44292,0,0
ACAA1,FAOXC200180x,1,0.3889356,1,8.51698E-05,92,2124.258127,0.00047648,0,0,0,0,4.523561956,44292,0,0
ACAA1,FAOXC2051843x,1,0.3889356,1,8.47706E-05,85,1662.701697,0.000439963,0,0,0,0,4.523561956,44292,0,0
ACAA1,FAOXC2242046x,1,0.3889356,1,8.52538E-05,92,2115.180461,0.000472995,0,0,0.03958442,0,4.523561956,44292,0,0
ACAA1,FAOXC2251836x,1,0.3889356,1,8.47706E-05,85,1673.858872,0.000441385,0,0,0,0,4.523561956,44292,0,0
ACAA1,FAOXC2252053x,1,0.3889356,1,8.52538E-05,92,2068.44622,0.000473972,0,0,0,0,4.523561956,44292,0,0
ACAA1,FAOXC226205x,1,0.3889356,1,8.47891E-05,86,1738.335885,0.000447907,0,0,1.606729854,0,4.523561956,44292,0,0
ACAA1,FAOXC240200x,1,0.3889356,1,8.51698E-05,92,2179.149599,0.000482176,0,0,0,0,4.523561956,44292,0,0
ACAA1,FAOXC241181x,1,0.3889356,1,8.52631E-05,92,2314.661845,0.000478362,0,0,0,0,4.523561956,44292,0,0
ACAA1,FAOXC2442246x,1,0.3889356,1,8.52538E-05,92,2177.3474,0.000477979,0,0,0,0,4.523561956,44292,0,0
ACAA1,FAOXC2452253x,1,0.3889356,1,8.52538E-05,92,2176.791785,0.000476978,0,0,0,0,4.523561956,44292,0,0
ACAA1,FAOXC2452256x,1,0.3889356,1,8.52538E-05,92,2199.154331,0.000479003,0,0,0,0,4.523561956,44292,0,0
ACAA1,FAOXC246226x,1,0.3889356,1,8.52538E-05,92,2170.430639,0.000478212,0,0,0,0,4.523561956,44292,0,0
ACAA1,FAOXC260240x,1,0.3889356,1,8.51698E-05,92,2275.772083,0.000485592,0,0,0,0,4.523561956,44292,0,0
ACAA1,PEROXx,1,0.3889356,1,8.51511E-05,92,5064.937776,0.000500575,0,0,0,0,4.523561956,44292,0,0
ACACB,ACCOAC,0,0.3889356,0.011627907,0.000120286,841,17950.46814,0.000730214,0,1.832447773,900,1.832447773,3.560714954,276541,0,0
ACACB,ACCOACm,0,0.3889356,0.011627907,8.88373E-05,273,1458.832519,0.000406427,0,0,900,0,3.560714954,276541,0,0
ACAD10,ACOAD1fm,1,0.3889356,1,6.95369E-05,64,6.323968551,0.000154,0,0,0,0,5.858291887,118834,0,0
ACAD10,PPCOAOm,1,0.3889356,1,6.96864E-05,68,16.98058948,0.000161543,0,0,0,0,5.858291887,118834,0,0
ACAD11,ACOAD1fm,1,0.3889356,1,6.95369E-05,64,6.323968551,0.000154,0,0,0,0,4.523561956,87264,1,0
ACAD11,PPCOAOm,1,0.3889356,1,6.96864E-05,68,16.98058948,0.000161543,0,0,0,0,4.523561956,87264,1,0
ACAD8,ACOAD1fm,1,0.3889356,1,6.95369E-05,64,6.323968551,0.000154,0,0,0,0,4.523561956,45070,0,0
ACAD8,ACOAD9m,1,0.3889356,1,6.89452E-05,63,3.874276809,0.000152489,0,0.03640469,0.03640469,0.03640469,4.523561956,45070,0,0
ACAD8,PPCOAOm,1,0.3889356,1,6.96864E-05,68,16.98058948,0.000161543,0,0,0,0,4.523561956,45070,0,0
ACAD9,ACOAD1fm,1,0.3889356,1,6.95369E-05,64,6.323968551,0.000154,0,0,0,0,4.523561956,68760,0,0
ACAD9,PPCOAOm,1,0.3889356,1,6.96864E-05,68,16.98058948,0.000161543,0,0,0,0,4.523561956,68760,0,0
ACADM,ACOAD10m,1,0.3889356,1,6.89452E-05,63,3.869288298,0.000152485,0,0.045831521,0.045831521,0.045831521,3.523561956,46588,0,0
ACADM,ACOAD1fm,1,0.3889356,1,6.95369E-05,64,6.323968551,0.000154,0,0,0,0,3.523561956,46588,0,0
ACADM,ACOAD9m,1,0.3889356,1,6.89452E-05,63,3.874276809,0.000152489,0,0.03640469,0.03640469,0.03640469,3.523561956,46588,0,0
ACADM,FAOXC11,1,0.3889356,1,9.18482E-05,306,2680.671329,0.000491119,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC140,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,1.071153236,0,3.523561956,46588,0,0
ACADM,FAOXC150m,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC160,1,0.3889356,1,9.22841E-05,330,6681.436614,0.000570922,0,0,0.918131345,0,3.523561956,46588,0,0
ACADM,FAOXC16080m,1,0.3889356,1,9.2306E-05,331,6743.533418,0.000574913,0,0,0.918131345,0,3.523561956,46588,0,0
ACADM,FAOXC161802m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0.918131345,0,3.523561956,46588,0,0
ACADM,FAOXC16180m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0.803364927,0,3.523561956,46588,0,0
ACADM,FAOXC170m,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC180,1,0.3889356,1,9.22841E-05,330,6681.436614,0.000570922,0,0,0.803364927,0,3.523561956,46588,0,0
ACADM,FAOXC1811601m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0.714102157,0,3.523561956,46588,0,0
ACADM,FAOXC1811602m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0.714102157,0,3.523561956,46588,0,0
ACADM,FAOXC1811603m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0.714102157,0,3.523561956,46588,0,0
ACADM,FAOXC182806m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC18280m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0.642691942,0,3.523561956,46588,0,0
ACADM,FAOXC183803m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC183806m,1,0.3889356,1,9.23718E-05,309,3302.502225,0.000497986,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC18480m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC200180m,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC2031836m,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC204,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC204184m,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC2051843m,1,0.3889356,1,9.18482E-05,306,2680.671329,0.000491119,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC2242046m,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC2251836m,1,0.3889356,1,9.18482E-05,306,2680.671329,0.000491119,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC2252053m,1,0.3889356,1,9.23498E-05,308,3250.313456,0.000493996,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC226,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC226205m,1,0.3889356,1,9.18482E-05,306,2680.671329,0.000491119,0,0,0,0,3.523561956,46588,0,0
ACADM,FAOXC80,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,2.142306472,0,3.523561956,46588,0,0
ACADM,PPCOAOm,1,0.3889356,1,6.96864E-05,68,16.98058948,0.000161543,0,0,0,0,3.523561956,46588,0,0
ACADS,ACOAD1fm,1,0.3889356,1,6.95369E-05,64,6.323968551,0.000154,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC140,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,1.071153236,0,3.263034406,44297,0,0
ACADS,FAOXC150m,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC160,1,0.3889356,1,9.22841E-05,330,6681.436614,0.000570922,0,0,0.918131345,0,3.263034406,44297,0,0
ACADS,FAOXC16080m,1,0.3889356,1,9.2306E-05,331,6743.533418,0.000574913,0,0,0.918131345,0,3.263034406,44297,0,0
ACADS,FAOXC161802m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0.918131345,0,3.263034406,44297,0,0
ACADS,FAOXC16180m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0.803364927,0,3.263034406,44297,0,0
ACADS,FAOXC180,1,0.3889356,1,9.22841E-05,330,6681.436614,0.000570922,0,0,0.803364927,0,3.263034406,44297,0,0
ACADS,FAOXC1811601m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0.714102157,0,3.263034406,44297,0,0
ACADS,FAOXC1811602m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0.714102157,0,3.263034406,44297,0,0
ACADS,FAOXC1811603m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0.714102157,0,3.263034406,44297,0,0
ACADS,FAOXC182806m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC18280m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0.642691942,0,3.263034406,44297,0,0
ACADS,FAOXC183803m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC183806m,1,0.3889356,1,9.23718E-05,309,3302.502225,0.000497986,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC18480m,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC200180m,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC2031836m,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC204,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC204184m,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC2051843m,1,0.3889356,1,9.18482E-05,306,2680.671329,0.000491119,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC2242046m,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC2251836m,1,0.3889356,1,9.18482E-05,306,2680.671329,0.000491119,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC2252053m,1,0.3889356,1,9.23498E-05,308,3250.313456,0.000493996,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC226,1,0.3889356,1,9.22513E-05,327,3552.516839,0.00053952,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC226205m,1,0.3889356,1,9.18482E-05,306,2680.671329,0.000491119,0,0,0,0,3.263034406,44297,0,0
ACADS,FAOXC80,1,0.3889356,1,9.22731E-05,328,3606.989627,0.000543511,0,0,2.142306472,0,3.263034406,44297,0,0
ACADS,PPCOAOm,1,0.3889356,1,6.96864E-05,68,16.98058948,0.000161543,0,0,0,0,3.263034406,44297,0,0
ACADSB,ACOAD10m,1,0.3889356,1,6.89452E-05,63,3.869288298,0.000152485,0,0.045831521,0.045831521,0.045831521,4.523561956,47485,0,0
ACADSB,ACOAD1fm,1,0.3889356,1,6.95369E-05,64,6.323968551,0.000154,0,0,0,0,4.523561956,47485,0,0
ACADSB,PPCOAOm,1,0.3889356,1,6.96864E-05,68,16.98058948,0.000161543,0,0,0,0,4.523561956,47485,0,0
ACAT1,ACACT10m,0.978984383,0.380035472,0,7.18694E-05,106,24.39897014,0.000242234,1,0.045831521,0.045831521,0.045831521,9.813781191,64735,1,0
ACAT1,ACACT1rm,0.978984383,0.380035472,0,7.18561E-05,104,38.06221419,0.00024244,1,-741.2300768,851.2632225,0.839939811,9.813781191,64735,1,0
ACAT2,ACACT1,1,0.3889356,1,9.10099E-05,134,91.66856592,0.000233272,0,0,900,0,9.813781191,59896,0,0
ACAT2,ACACT1r,1,0.3889356,1,9.10099E-05,134,91.66856592,0.000233272,1,-900,741.1144648,-0.955551859,9.813781191,59896,0,0
ACAT2,ACACT1x,1,0.3889356,1,6.77323E-05,47,16.77256348,0.000275226,0,0,0,0,9.813781191,59896,0,0
ACLY,ACITL,1,0.3889356,0.511627907,0.000104161,443,8861.138568,0.000476892,0,0,900,0.183122309,8.224001674,120839,1,0
ACMSD,PCLAD,0.955144016,0.371135344,0,0.000114043,640,508.5468373,0.000422634,0,0.048958442,0.048958442,0.048958442,0,38035,0,0
ACO1,ACONT,1,0.3889356,1,7.86024E-05,7,2.604808936,6.67482E-05,1,0,900,0,1.321928095,98399,0,0
ACO2,ACONTm,1,0.3889356,0.523255814,6.775E-05,5,3.199185986,6.25023E-05,1,-900,2.228139,-0.183122309,1.321928095,85425,0,0
ACOT12,ACOAHi,1,0.3889356,1,0.000126159,890,12751.63912,0.000684146,0,0,900,0,2.859969548,62034,0,0
ACOT2,PTE2x,1,0.3889356,1,8.46691E-05,83,1515.892226,0.000434895,0,0,0,0,4.523561956,53218,0,0
ACOT2,PTE3x,1,0.3889356,1,8.4623E-05,83,1620.048151,0.000455609,0,0,900,0,4.523561956,53218,0,0
ACOT2,PTE4x,1,0.3889356,1,8.46415E-05,83,1566.838412,0.00044597,0,0,0,0,4.523561956,53218,0,0
ACOT2,PTE5x,1,0.3889356,1,8.4706E-05,82,1462.913477,0.000431398,0,0,0,0,4.523561956,53218,0,0
ACOX2,ACOX22x,1,0.3889356,1,6.65444E-05,42,158.6359765,0.000256337,0,0,0,0,4.523561956,76827,0,0
ACOX2,ACOX2x,1,0.3889356,1,7.47569E-05,58,2069.849238,0.000347977,0,0,0,0,4.523561956,76827,0,0
ACOX3,PEROXx,1,0.3889356,1,8.51511E-05,92,5064.937776,0.000500575,0,0,0,0,1.707214606,77629,0,0
ACP2,3NTD7l,1,0.3889356,1,7.58578E-05,185,177.9658284,0.000314186,0,0,0,0,7.906890596,48344,0,0
ACP2,LAPCOAl,1,0.3889356,1,7.82386E-05,186,453.2918032,0.000321013,0,0,0,0,7.844919703,48344,0,0
ACP2,NTD2l,1,0.3889356,1,7.5843E-05,185,373.9312509,0.000316712,0,0,0,0,8.174925683,48344,0,0
ACP2,NTD3l,1,0.3889356,1,7.57839E-05,184,0,0.000308918,0,0,0,0,8.174925683,48344,0,0
ACP2,NTD4l,1,0.3889356,1,7.5843E-05,185,374.4245471,0.000317991,0,0,0,0,7.658211483,48344,0,0
ACP2,NTD5l,1,0.3889356,1,7.58504E-05,185,386.6764436,0.000317678,0,0,0,0,8.174925683,48344,0,0
ACP2,NTD6l,1,0.3889356,1,7.57839E-05,184,0,0.000308918,0,0,0,0,7.442943496,48344,0,0
ACP2,NTD7l,1,0.3889356,1,7.58578E-05,185,177.9658284,0.000314186,0,0,0,0,7.54689446,48344,0,0
ACP2,NTD8l,1,0.3889356,1,7.57839E-05,184,0,0.000308918,0,0,0,0,8.174925683,48344,0,0
ACP2,NTD9l,1,0.3889356,1,7.58356E-05,185,427.5391163,0.000319574,0,0,0,0,7.044394119,48344,0,0
ACSL1,FACOAL150,1,0.3889356,1,0.000100774,364,4976.732941,0.000432582,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL160i,1,0.3889356,1,0.000100996,374,4331.672229,0.000439432,0,0,1.179909598,0,4.523561956,77943,0,0
ACSL1,FACOAL161,1,0.3889356,1,0.000100983,368,3571.83999,0.00041813,1,-0.136742966,0,0,4.523561956,77943,0,0
ACSL1,FACOAL170,1,0.3889356,1,0.000100774,364,4976.732941,0.000432582,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL180i,1,0.3889356,1,0.000100865,371,3374.990939,0.000422693,0,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL1812,1,0.3889356,1,0.000100983,368,5860.898766,0.000438177,1,-0.12126263,0,0,4.523561956,77943,0,0
ACSL1,FACOAL1813,1,0.3889356,1,0.00010097,367,5424.509299,0.000435887,1,-0.12126263,0,0,4.523561956,77943,0,0
ACSL1,FACOAL181i,1,0.3889356,1,0.000101022,371,4028.919759,0.000421566,0,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL1821,1,0.3889356,1,0.000102662,367,2763.148085,0.000414736,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL1822,1,0.3889356,1,0.000101009,370,3316.61378,0.000418925,1,-0.119017026,0,0,4.523561956,77943,0,0
ACSL1,FACOAL1831,1,0.3889356,1,0.000102649,366,5197.591208,0.000434456,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL1832,1,0.3889356,1,0.000102649,366,5211.627454,0.00043446,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL184,1,0.3889356,1,0.000102649,366,5197.553789,0.000434456,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL200,1,0.3889356,1,0.000100813,367,8360.416612,0.00043093,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL203,1,0.3889356,1,0.000102649,366,5197.409334,0.000434465,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL204,1,0.3889356,1,0.000102907,374,3627.991077,0.00041884,1,-900,0,0,4.523561956,77943,0,0
ACSL1,FACOAL2042,1,0.3889356,1,0.000102649,366,5207.258552,0.000434506,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL204i,1,0.3889356,1,0.000102907,374,3627.991077,0.00041884,0,0,900,0,4.523561956,77943,0,0
ACSL1,FACOAL205,1,0.3889356,1,0.000102662,367,5592.998901,0.000441469,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL224,1,0.3889356,1,0.000102676,367,5236.424102,0.000423656,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL2251,1,0.3889356,1,0.000102662,366,7292.001832,0.000442381,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL2252,1,0.3889356,1,0.000102662,366,5700.951335,0.000442699,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL226,1,0.3889356,1,0.000102676,367,4515.109377,0.000417355,1,-900,0,0,4.523561956,77943,0,0
ACSL1,FACOAL240,1,0.3889356,1,0.000100813,367,8744.42165,0.000435547,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL241,1,0.3889356,1,0.00010097,367,8137.513336,0.000429713,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL244_1,1,0.3889356,1,0.000102649,366,7349.140186,0.000446128,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL245_1,1,0.3889356,1,0.000102649,366,7349.190691,0.000446136,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL245_2,1,0.3889356,1,0.000102662,367,5777.251403,0.000444311,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL246_1,1,0.3889356,1,0.000102662,367,5945.1006,0.000446287,1,0,0,0,4.523561956,77943,0,0
ACSL1,FACOAL260,1,0.3889356,1,0.0001008,366,9244.750381,0.000455937,1,0,0,0,4.523561956,77943,0,0
ACSL5,FACOAL160i,1,0.3889356,1,0.000100996,374,4331.672229,0.000439432,0,0,1.179909598,0,4.523561956,75991,0,0
ACSL5,FACOAL180i,1,0.3889356,1,0.000100865,371,3374.990939,0.000422693,0,0,0,0,4.523561956,75991,0,0
ACSM1,FACOAL40im,1,0.3889356,0.988372093,8.63709E-05,165,1700.502415,0.00033009,0,0,0,0,5.364572432,65273,0,0
ACSS1,ACCOALm,1,0.3889356,0.988372093,8.63901E-05,166,2047.902031,0.000348851,0,0,0,0,12.46620905,74857,0,0
